stop_id,stop_name,stop_lat,stop_lon,location_type,stop_code,zone_id
14623,Beck / 30303 (SB),42.5154013,-83.5171384,0,14623,standard
14622,Beck / Adept (SB),42.5115301,-83.516838,0,14622,standard
14621,Beck / West (SB),42.5085326,-83.5167146,0,14621,standard
14620,Beck / Magellan (SB),42.5068282,-83.5165268,0,14620,standard
14619,Beck / Avante (SB),42.5040125,-83.5163391,0,14619,standard
14618,Beck / Liberty (SB),42.5014378,-83.5161781,0,14618,standard
14617,Beck / Enterprise (SB),42.4996185,-83.5160816,0,14617,standard
14616,Pontiac Trail / Portsmouth Apartments (EB),42.5249378,-83.5132331,0,14616,standard
14615,Pontiac Trail / Wellington (EB),42.5250287,-83.51017,0,14615,standard
14614,Pontiac Trail / Geisler Middle School (EB),42.5251039,-83.5079706,0,14614,standard
14613,Pontiac Trail / Shorecrest (EB),42.5253569,-83.4991998,0,14613,standard
14612,Pontiac Trail / Westgate (EB),42.525432,-83.4965336,0,14612,standard
14611,Pontiac Trail / Walled Lake Villa (EB),42.5254953,-83.4942564,0,14611,standard
14610,Pontiac Trail / Dekalb (EB),42.5274206,-83.4916788,0,14610,standard
14609,Pontiac Trail / Ladd (EB),42.5291798,-83.4912551,0,14609,standard
14608,Pontiac Trail / Rosebud (EB),42.5298162,-83.4879613,0,14608,standard
14607,Pontiac Trail / Nicolet (EB),42.534046,-83.4835196,0,14607,standard
14606,Pontiac Trail / Common (EB),42.5360303,-83.4823394,0,14606,standard
14605,Pontiac Trail / Maple (EB),42.538066,-83.4810627,0,14605,standard
14604,Pontiac Trail / Eagle Pond (EB),42.5403308,-83.4795767,0,14604,standard
14603,Pontiac Trail / Zeal Credit Union (EB),42.5436824,-83.474679,0,14603,standard
14602,Pontiac Trail / Quinif (EB),42.5445401,-83.4730804,0,14602,standard
14601,Pontiac Trail / Walnut Run (EB),42.5460972,-83.4703821,0,14601,standard
14600,Pontiac Trail / 1880 (EB),42.5488558,-83.4651142,0,14600,standard
14599,Pontiac Trail / Hollingsworth (EB),42.5495592,-83.4626412,0,14599,standard
14598,Pontiac Trail / Quail Run (EB),42.5516972,-83.4552169,0,14598,standard
14597,Pontiac Trail / Tyler (EB),42.5526693,-83.4529156,0,14597,standard
14596,Pontiac Trail / Martin (EB),42.5549218,-83.4467518,0,14596,standard
14595,Pontiac Trail / Walnut Lake (EB),42.5565103,-83.4428251,0,14595,standard
14594,Pontiac Trail / Walmart (EB),42.558162,-83.4410012,0,14594,standard
14593,Pontiac Trail / Walmart (WB),42.5582963,-83.4412748,0,14593,standard
14592,Pontiac Trail / Walnut Lake (WB),42.5564233,-83.4435654,0,14592,standard
14591,Pontiac Trail / Martin NS (WB),42.5550601,-83.4473634,0,14591,standard
14590,Martin / First & Main (NB),42.5598887,-83.4494662,0,14590,standard
14589,Martin / Pedestrian Tunnel (NB),42.5628205,-83.4512419,0,14589,standard
14588,Martin / Merill Park (NB),42.5644839,-83.4499544,0,14588,standard
14587,Martin / American Dance Academy (NB),42.5664712,-83.4495199,0,14587,standard
14586,Martin / Ridgeway (NB),42.5691656,-83.4497076,0,14586,standard
14585,Oakley Park / Martin (EB),42.5703824,-83.4491444,0,14585,standard
14584,Oakley Park / Old Farm (EB),42.5706748,-83.4427929,0,14584,standard
14583,Oakley Park / Haggerty (WB),42.5709394,-83.4401965,0,14583,standard
14582,Oakley Park / Plant (WB),42.5708525,-83.4427607,0,14582,standard
14581,Oakley Park / Detroit Gun Club (EB),42.570576,-83.4460437,0,14581,standard
14580,Oakley Park / Detroit Gun Club (WB),42.5707261,-83.446092,0,14580,standard
14579,Oakley Park / Martin NS (WB),42.5706056,-83.4488976,0,14579,standard
14578,Martin / Shelving and Rack Systems (NB),42.5723972,-83.4498122,0,14578,standard
14577,Martin / Boulder (NB),42.57361,-83.4499463,0,14577,standard
14576,Martin / Pioneer (NB),42.5753501,-83.4500402,0,14576,standard
14575,Richardson / Martin (EB),42.5777479,-83.4498605,0,14575,standard
14574,Union Lake / Richardson (NB),42.5781508,-83.4461591,0,14574,standard
14573,Union Lake / Woodspur (NB),42.5815103,-83.4462905,0,14573,standard
14572,Union Lake / Lake Pine (NB),42.5834793,-83.4464568,0,14572,standard
14571,Union Lake / Gitzen (NB),42.5854166,-83.4462878,0,14571,standard
14570,Union Lake / Eldora (NB),42.5870952,-83.4456387,0,14570,standard
14569,Union Lake / Bywater (NB),42.5893365,-83.4457111,0,14569,standard
14568,Union Lake / Commerce (NB),42.5927349,-83.4458157,0,14568,standard
14567,Union Lake / Planet Fitness (NB),42.5951439,-83.4459686,0,14567,standard
14566,Union Lake / Ortho Fit (NB),42.5972566,-83.4460598,0,14566,standard
14565,Union Lake / Willow (NB),42.5990375,-83.4461671,0,14565,standard
14564,Union Lake / Wise (NB),42.6023346,-83.4462637,0,14564,standard
14563,Union Lake / Marshalsea (NB),42.6053197,-83.4464461,0,14563,standard
14562,Union Lake / Flagstaff (NB),42.6082178,-83.4465641,0,14562,standard
14561,Union Lake / Meridian (NB),42.6101089,-83.4469342,0,14561,standard
14560,Union Lake / Vandell (NB),42.6121777,-83.4467411,0,14560,standard
14559,Cooley Lake / Union Lake (EB),42.6143214,-83.4464997,0,14559,standard
14558,Cooley Lake / Lockin (EB),42.6147083,-83.4417146,0,14558,standard
14557,Cooley Lake / Tanfield (EB),42.6150241,-83.4384745,0,14557,standard
14556,Cooley Lake / Malcom (EB),42.6151267,-83.4356797,0,14556,standard
14555,Cooley Lake / Peterson (EB),42.6152333,-83.4314847,0,14555,standard
14554,Marylestone / Cooley Lake (NB),42.615636,-83.4288186,0,14554,standard
14553,Oakland CC Highland Lakes Lot A (NB),42.6180046,-83.4304118,0,14553,standard
14552,Oakland CC Highland Lakes Highoaks Drive (NB),42.6194573,-83.4314418,0,14552,standard
14551,Oakland CC Highland Lakes High Oaks Hall (NB),42.6206258,-83.4327292,0,14551,standard
14550,Oakland CC Highland Lakes Redwood Center (NB),42.6215139,-83.4302831,0,14550,standard
14549,Oakland CC Highland Lakes Woodland Hall (EB),42.6235053,-83.4295857,0,14549,standard
14548,Hospital / Campus (NB),42.6239829,-83.4237868,0,14548,standard
14547,Hospital / Princeton (NB),42.6258835,-83.4238619,0,14547,standard
14546,Hospital / Pershing (NB),42.6311369,-83.4241623,0,14546,standard
14545,Hospital / Redmond (NB),42.6330905,-83.4242803,0,14545,standard
14544,Hospital / Lanore (NB),42.6353045,-83.424409,0,14544,standard
14543,Hospital / Eagle Landings (NB),42.6375224,-83.4244841,0,14543,standard
14542,Hospital / Wedworth (NB),42.6394521,-83.4245861,0,14542,standard
14541,Hospital / Banks (NB),42.6422618,-83.424747,0,14541,standard
14540,Hospital / Elizabeth Lake (NB),42.6449648,-83.4248489,0,14540,standard
14539,Hospital / Chesterfield NS (NB),42.6481845,-83.4250206,0,14539,standard
14538,Hospital / York (NB),42.6504098,-83.4251493,0,14538,standard
14537,Pontiac Lake / Hospital (WB),42.6520709,-83.4257931,0,14537,standard
14536,Pontiac Lake / Ashton Pines (WB),42.6519723,-83.4298325,0,14536,standard
14535,Oakland / Pontiac Lake (NB),42.6527179,-83.4327453,0,14535,standard
14534,Oakland / WACC Urgent Care (NB),42.6562529,-83.4319139,0,14534,standard
14533,Oakland / Community Programs Inc (NB),42.6586436,-83.4313291,0,14533,standard
14532,Airport / Highland (SB),42.6595746,-83.4060627,0,14532,standard
14531,Airport / Northridge (SB),42.6573536,-83.4059233,0,14531,standard
14530,Airport / Sutherland (SB),42.6554599,-83.4058267,0,14530,standard
14529,Pontiac Lake / Airport (EB),42.6524812,-83.4052473,0,14529,standard
14528,Pontiac Lake / Irwin (EB),42.6526982,-83.3989978,0,14528,standard
14527,Pontiac Lake / Pinegrove (EB),42.6527495,-83.3954734,0,14527,standard
14526,Pontiac Lake / Lynsue (EB),42.6528758,-83.3921045,0,14526,standard
14525,Pontiac Lake / Hickory (EB),42.653006,-83.3878988,0,14525,standard
14524,Pontiac Lake / Crescent Lake (EB),42.6530454,-83.3853829,0,14524,standard
14523,Pontiac Lake / Wadsworth (EB),42.6531283,-83.380748,0,14523,standard
