shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
0104,42.4781254,-82.9946818,415,15629.348134890213
0104,42.4781174,-82.9950811,416,15662.106879562562
0104,42.4781164,-82.9951322,417,15666.299074957695
0104,42.4781097,-82.9954668,418,15693.749796047792
0104,42.4781052,-82.9956876,419,15711.86455980921
0104,42.4780518,-82.9983162,420,15927.518425602937
0104,42.4780479,-82.9985705,421,15948.37814623736
0104,42.4780408,-82.9990263,422,15985.766768044834
0104,42.4780348,-82.9993482,423,16012.174309113414
0104,42.4780205,-83.0000997,424,16073.82555993483
0104,42.4780155,-83.0003194,425,16091.851801920242
0104,42.4780079,-83.0006514,426,16119.09234071849
0104,42.4780033,-83.0008879,427,16138.494527388913
0104,42.4779963,-83.0012476,428,16168.003913317776
0104,42.4779877,-83.0017669,429,16210.602622216693
0104,42.4779817,-83.0023419,430,16257.763297579631
0104,42.4779727,-83.0027114,431,16288.082649090818
0104,42.4779708,-83.0027906,432,16294.581305900052
0104,42.4779654,-83.0030015,433,16311.887714647733
0104,42.4779536,-83.0034574,434,16349.299268134791
0104,42.4779458,-83.0038336,435,16380.163770813493
0104,42.4779302,-83.0045877,436,16442.032150485436
0104,42.4779234,-83.0048952,437,16467.261692008724
0104,42.4779187,-83.0051422,438,16487.52501167957
0104,42.4779172,-83.0052168,439,16493.645264111066
0104,42.4779147,-83.005511,440,16517.774339392603
0104,42.4779086,-83.0058881,441,16548.707918999535
0104,42.4779048,-83.0061267,442,16568.280176463308
0104,42.4778991,-83.0063758,443,16588.718813461204
0104,42.4778919,-83.0066892,444,16614.433362493197
0104,42.4778846,-83.0070047,445,16640.32039986456
0104,42.4778815,-83.0071492,446,16652.175928149398
0104,42.477818,-83.0097402,447,16864.78250637648
0104,42.4778108,-83.0099626,448,16883.03922238579
0104,42.4778028,-83.010643,449,16938.846318967044
0104,42.4777728,-83.0118893,450,17041.110572020763
0104,42.4777439,-83.012966,451,17129.469899852545
0104,42.4777388,-83.0133174,452,17158.294030937148
0104,42.4777358,-83.0135277,453,17175.54410322341
0104,42.4777249,-83.014027,454,17216.50997506642
0104,42.4776899,-83.0151683,455,17310.18968739679
0104,42.4776787,-83.0155465,456,17341.231146226484
0104,42.4776717,-83.0158868,457,17369.150261396822
0104,42.4776684,-83.0160494,458,17382.490260406965
0104,42.4776627,-83.0161979,459,17394.6853422867
0104,42.4776466,-83.0166187,460,17429.24188680681
0104,42.477627,-83.017242,461,17480.40566669618
0104,42.4776223,-83.0174481,462,17497.316176390425
0104,42.47762,-83.017552,463,17505.84093928655
0104,42.477592,-83.018464,464,17580.6996128106
0104,42.4775881,-83.0186711,465,17597.689600492828
0104,42.477566,-83.019847,466,17694.157513867856
0104,42.477529,-83.0214929,467,17829.201991117472
0104,42.477525,-83.021671,468,17843.814913297072
0104,42.477518,-83.022224,469,17889.173656041643
0104,42.4775166,-83.0223725,470,17901.353280108488
0104,42.477499,-83.024172,471,18048.945019926665
0104,42.4774799,-83.025614,472,18167.223961743086
0104,42.4774722,-83.0261909,473,18214.54386862477
0104,42.4774665,-83.0265435,474,18243.467904260455
0104,42.4774655,-83.0266045,475,18248.471813198987
0104,42.4774585,-83.0270341,476,18283.71235438287
0104,42.477455,-83.0272487,477,18301.3162282484
0104,42.4774484,-83.0274736,478,18319.7751095842
0104,42.4774377,-83.0278426,479,18350.06057352835
0104,42.477428,-83.0281757,480,18377.39974945012
0104,42.4774211,-83.028384,481,18394.49988095165
0104,42.4774025,-83.0290433,482,18448.609346496414
0104,42.477388,-83.029555,483,18490.60540400489
0104,42.4773828,-83.0297316,484,18505.100109435403
0104,42.4773499,-83.0308383,485,18595.93556723187
0104,42.4773314,-83.0314827,486,18648.82360722318
0104,42.4773176,-83.0319937,487,18690.759426390545
0104,42.4773168,-83.0320247,488,18693.303330408362
0104,42.4773128,-83.0321896,489,18706.83429546535
0104,42.4773087,-83.0324683,490,18729.69537473231
0104,42.4773026,-83.0328803,491,18763.49081644847
0104,42.4772933,-83.0332683,492,18795.327983761916
0104,42.4772881,-83.0334878,493,18813.33874085814
0104,42.4772587,-83.0345708,494,18902.217111476602
0104,42.4772465,-83.0349622,495,18934.344994303345
