shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1054,42.3329571,-83.0528374,1,0.0
1054,42.3332527,-83.0526094,2,37.836926130693556
1054,42.3333437,-83.0525388,3,49.50170896962491
1054,42.3335217,-83.0524008,4,72.31457125219659
1054,42.3336031,-83.0523377,5,82.74664329436139
1054,42.333657,-83.052296,6,89.6509984014165
1054,42.3336553,-83.0521876,7,98.56340220870197
1054,42.3336542,-83.0521206,8,104.07211030377047
1054,42.333655,-83.0520648,9,108.65969121107165
1054,42.3336584,-83.0518121,10,129.43488223619946
1054,42.333664,-83.0513942,11,163.79159025891528
1054,42.3336651,-83.0513131,12,170.45907072067138
1054,42.3336666,-83.0512018,13,179.60936633117657
1054,42.3335863,-83.0512022,14,188.5383794782411
1054,42.3325845,-83.0511971,15,299.9342458259449
1054,42.3325083,-83.0511967,16,308.40736303339685
1054,42.3324294,-83.0511961,17,317.18078137610894
1054,42.3318295,-83.0511878,18,383.89010692565444
1054,42.3316661,-83.0511872,19,402.05942488087214
1054,42.3315479,-83.0511855,20,415.2034080879871
1054,42.3315231,-83.0511837,21,417.9650089848817
1054,42.331466,-83.0511752,22,424.35256970135964
1054,42.3314606,-83.0511734,23,424.9709843028011
1054,42.3314368,-83.0511655,24,427.6959351347949
1054,42.3313884,-83.0511495,25,433.2361503836617
1054,42.3312868,-83.0511056,26,445.0959110131694
1054,42.3311339,-83.0510136,27,463.7037386501382
1054,42.3309236,-83.0508421,28,491.00890330607234
1054,42.3308393,-83.0507115,29,505.2609917183208
1054,42.3307322,-83.0506355,30,518.7091917662004
1054,42.3307102,-83.0506199,31,521.471219099254
1054,42.3306325,-83.0505647,32,531.2301573930557
1054,42.3305384,-83.0504906,33,543.3374734905353
1054,42.3304664,-83.0504349,34,552.5603440432695
1054,42.3304071,-83.050389,35,560.1574194553749
1054,42.3302187,-83.0502432,36,584.2927241380127
1054,42.3301179,-83.0501652,37,597.2055761051363
1054,42.3300066,-83.050079,38,611.4665851408107
1054,42.3299744,-83.0500541,39,615.5908466991697
1054,42.3298747,-83.0499769,40,628.3648868608552
1054,42.3297782,-83.0499021,41,640.7321124054322
1054,42.3296635,-83.0498133,42,655.4274297496727
1054,42.3296163,-83.0499233,43,665.8826880328588
1054,42.3295775,-83.0500135,44,674.4613677374745
1054,42.3294302,-83.0503563,45,707.0554031936281
1054,42.3293529,-83.0505363,46,724.1676113444831
1054,42.32928,-83.050706,47,740.3019355987462
1054,42.3291681,-83.0509664,48,765.0617056120601
1054,42.3290983,-83.0511289,49,780.5111276716303
1054,42.3288059,-83.0518092,50,845.2000140835831
1054,42.32875,-83.0519394,51,857.5771716821052
1054,42.3287129,-83.0520258,52,865.7908726439549
1054,42.3286761,-83.0521116,53,873.9451728482113
1054,42.3286423,-83.0521904,54,881.4343370213452
1054,42.3286065,-83.0522737,55,889.3550828507106
1054,42.3284263,-83.052693,56,929.2249188745948
1054,42.328377,-83.0528076,57,940.1246073520217
1054,42.3283159,-83.0529498,58,953.6452632143591
1054,42.3283017,-83.0529829,59,956.7912329134497
1054,42.3282156,-83.0531833,60,975.8452784237854
1054,42.3280336,-83.0536068,61,1016.1143860026015
1054,42.3279459,-83.053811,62,1035.5279747371933
1054,42.3277938,-83.0541651,63,1069.193983377138
1054,42.327718,-83.0543414,64,1085.959736305824
1054,42.3276758,-83.0544418,65,1095.4539743645498
1054,42.3276366,-83.0545332,66,1104.1404931872082
1054,42.3276337,-83.0545398,67,1104.7716530783568
1054,42.3275517,-83.0547309,68,1122.9357709239225
1054,42.3274615,-83.0549535,69,1143.8035084570204
1054,42.3272262,-83.055486,70,1194.80211152785
1054,42.3270064,-83.0560116,71,1244.4439547537331
1054,42.3268989,-83.0562479,72,1267.2528339908065
1054,42.3268692,-83.0563173,73,1273.8449675928443
1054,42.3268295,-83.0564101,74,1282.659026188336
1054,42.3267679,-83.0565542,75,1296.3429460484174
1054,42.3267359,-83.0566291,76,1303.454530081527
1054,42.3266924,-83.0567304,77,1313.0850550079856
1054,42.3266671,-83.0567892,78,1318.677943218505
1054,42.3266536,-83.0568205,79,1321.6569290374161
1054,42.3265443,-83.0570751,80,1345.8599588266386
1054,42.32619,-83.0578978,81,1424.1307574164568
1054,42.3261033,-83.0580996,82,1443.3183129383472
1054,42.3260362,-83.0582557,83,1458.162546242438
1054,42.3258557,-83.0586758,84,1498.1072235905667
1054,42.3258374,-83.0587184,85,1502.157600025176
1054,42.3257947,-83.0588178,86,1511.608481797354
1054,42.3256366,-83.0591858,87,1546.5985690631683
1054,42.325485,-83.0595385,88,1580.1380561817805
1054,42.3253928,-83.0597531,89,1600.542872170503
